lost_id,found_id
L1,F1
L2,F2
L3,F3
L4,F4
L5,F5
L6,F6
L7,F7
L8,F8
L9,F9
L10,F10
L11,F11
L12,F12
L13,F13
L14,F14
L15,F15
L16,F16
L17,F17
L18,F18
L19,F19
L20,F20
L21,F21
L22,F22
L23,F23
L24,F24
L25,F25
L26,F26
L27,F27
L28,F28
L29,F29
L30,F30
L31,F31
L32,F32
L33,F33
L34,F34
L35,F35
L36,F36
L37,F37
L38,F38
L39,F39
L40,F40
L41,F41
L42,F42
L43,F43
L44,F44
L45,F45
L46,F46
L47,F47
L48,F48
L49,F49
L50,F50
L51,F51
L52,F52
L53,F53
L54,F54
L55,F55
L56,F56
L57,F57
L58,F58
L59,F59
L60,F60
L61,F61
L62,F62
L63,F63
L64,F64
L65,F65
L66,F66
L67,F67
L68,F68
L69,F69
L70,F70
L71,F71
L72,F72
L73,F73
L74,F74
L75,F75
L76,F76
L77,F77
L78,F78
L79,F79
L80,F80
L81,F81
L82,F82
L83,F83
L84,F84
L85,F85
L86,
L87,
L88,
L89,
L90,
L91,
L92,
L93,
L94,
L95,
L96,
L97,
L98,
L99,
L100,
L101,
L102,
L103,
L104,
L105,
