id,category,description,location,date_lost,reporter_role
L21,Umbrella,black folding umbrella,Bus stop outside campus,2026-09-25,student
L95,Bag,black tote bag with files,SIT@Punggol Learning Commons,2026-09-20,student
L50,Umbrella,clear plastic umbrella,Bus stop outside campus,2026-09-16,student
L56,Jacket,grey hooded jacket,Study pod level 3,2026-09-24,student
L41,Keys,bunch of keys with red lanyard,Library level 2,2026-09-03,student
L105,Card,"matriculation card, slightly bent",Library level 2,2026-09-24,staff
L69,Bottle,blue plastic water bottle,Sports hall,2026-09-10,staff
L59,Bag,drawstring bag with gym clothes,W2 lobby,2026-09-27,staff
L90,Card,SIT student card in blue sleeve,Sports hall,2026-09-13,staff
L53,Keys,house keys on a black keyring,W3 canteen,2026-09-23,student
L86,Jacket,black windbreaker,Lecture Theatre 1,2026-09-24,student
L70,Watch,black digital sports watch,Staff lounge level 4,2026-09-22,staff
L25,Watch,silver analog wristwatch,Bus stop outside campus,2026-09-06,staff
L98,Card,SIT student card in blue sleeve,Library level 2,2026-09-10,student
L102,Bottle,metal thermos flask,Bus stop outside campus,2026-09-14,staff
L60,Bag,black tote bag with files,SIT@Punggol Learning Commons,2026-09-22,staff
L92,Umbrella,clear plastic umbrella,Sports hall,2026-09-27,student
L51,Jacket,grey hooded jacket,Sports hall,2026-09-02,staff
L23,Bottle,metal thermos flask,W3 canteen,2026-09-12,student
L22,Bag,black tote bag with files,Library level 2,2026-09-12,student
L4,Watch,black digital sports watch,Study pod level 3,2026-09-09,student
L83,Bottle,green sports water bottle,W2 lobby,2026-09-27,staff
L77,Watch,silver analog wristwatch,Bus stop outside campus,2026-09-18,staff
L91,Bag,drawstring bag with gym clothes,Learning Commons,2026-09-11,staff
L97,Bag,drawstring bag with gym clothes,Sports hall,2026-09-25,staff
L84,Jacket,black windbreaker,Staff lounge level 4,2026-09-01,staff
L80,Keys,car key with SIT keychain,Sports hall,2026-09-08,staff
L26,Bag,"small sling bag, navy blue",Sports hall,2026-09-13,staff
